institution_combo_group,academic_institution,position_group_rc,position_type,position_category,position_group_tenure,position_tenure,position_group_tenure_cat,position_percent_rcd,promoted,experience_rcd,experience_work,supervise_staff,supervise_student_workers,management_staff_role,position_hourly,position_fulltime,position_funding,onsite_remote,position_scope,education,education_related
Medical,FALSE,FALSE,Staff,Senior individual contributor,5,2,5-9,NA,TRUE,5,5,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Director,1,11,<2,60,FALSE,20,25,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Slightly related
Other,FALSE,FALSE,NA,Individual contributor,0,0,<2,50,FALSE,3,10,FALSE,FALSE,FALSE,TRUE,TRUE,NA,Remotely,Multiple Institutions,PhD or Doctorate,Moderately related
Academic Computing Center,TRUE,FALSE,Staff,Individual contributor,0,0,<2,100,FALSE,0,3,FALSE,FALSE,FALSE,FALSE,TRUE,I don't know,A combination of remotely and on-site,Center or Institute,Bachelor's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Individual contributor,4,0,2-4,100,TRUE,4,4,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,Center or Institute,Master's Degree,Moderately related
R1 private,TRUE,FALSE,Staff,Manager,7,3,5-9,100,TRUE,25,30,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),Remotely,"University, Company, or Institution",Bachelor's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Individual contributor,1,1,<2,100,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),A combination of remotely and on-site,National,PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,4,7,2-4,35,TRUE,2,15,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Extremely related
Other Academic private,TRUE,FALSE,Staff,Other/Unknown,6,6,5-9,20,FALSE,12,13,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Very related
Other Academic public,TRUE,FALSE,Staff,Individual contributor,0,0,<2,80,FALSE,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,Soft funding (grants or sponsored funding),A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Very related
R2 public,TRUE,FALSE,Staff,Individual contributor,8,2,5-9,100,TRUE,8,41,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Moderately related
R1 private,TRUE,FALSE,Staff,Lead/principal individual contributor,16,5,10+,100,TRUE,21,25,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Extremely related
R1 private,TRUE,FALSE,Staff,Individual contributor,3,2,2-4,90,TRUE,3,5,TRUE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,Center or Institute,Master's Degree,Slightly related
Academic Computing Center,TRUE,FALSE,Staff,Manager,0,0,<2,100,FALSE,15,15,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),Remotely,Multiple Institutions,Bachelor's Degree,Moderately related
Company,FALSE,FALSE,NA,Director,1,1,<2,15,FALSE,25,28,TRUE,FALSE,TRUE,FALSE,TRUE,NA,On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Not at all related
Medical,FALSE,FALSE,Staff,Individual contributor,4,4,2-4,100,FALSE,10,10,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Slightly related
R1 private,TRUE,FALSE,Staff,Individual contributor,1,1,<2,100,FALSE,6,8,FALSE,TRUE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),Remotely,Research Group,PhD or Doctorate,Moderately related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,25,8,10+,15,TRUE,6,25,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,Master's Degree,Moderately related
R1 private,TRUE,FALSE,Staff,Individual contributor,5,5,5-9,100,FALSE,5,10,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Slightly related
R1 public,TRUE,TRUE,Staff,Senior individual contributor,21,5,10+,100,TRUE,21,30,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,Multiple Institutions,PhD or Doctorate,Moderately related
NA,NA,NA,Staff,Manager,20,20,10+,25,TRUE,12,25,FALSE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),NA,Multiple Institutions,Bachelor's Degree,Slightly related
R2 public,TRUE,TRUE,Faculty,Individual contributor,1,1,<2,100,FALSE,1,1,TRUE,TRUE,FALSE,FALSE,TRUE,I don't know,A combination of remotely and on-site,National,Bachelor's Degree,Extremely related
Medical,FALSE,FALSE,Staff,Manager,3,1,2-4,100,TRUE,27,27,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),Remotely,"University, Company, or Institution",PhD or Doctorate,Extremely related
R1 public,TRUE,FALSE,Staff,Individual contributor,6,2,5-9,100,TRUE,6,6,FALSE,TRUE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,Multiple Institutions,Bachelor's Degree,Slightly related
R1 private,TRUE,TRUE,Staff,"AVP, VP, CIO, or other senior leader",2,1,2-4,100,TRUE,20,26,TRUE,FALSE,TRUE,FALSE,TRUE,NA,On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Moderately related
Other,FALSE,FALSE,NA,Manager,22,2,10+,100,TRUE,15,42,TRUE,FALSE,TRUE,FALSE,TRUE,NA,On-site at my employer,National,Bachelor's Degree,Very related
R1 public,TRUE,FALSE,Staff,Individual contributor,15,15,10+,80,FALSE,15,32,FALSE,TRUE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,Multiple Institutions,Master's Degree,Extremely related
R1 public,TRUE,TRUE,Staff,Manager,4,4,2-4,100,FALSE,9,9,TRUE,FALSE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Slightly related
R1 public,TRUE,TRUE,Staff,Lead/principal individual contributor,8,1,5-9,100,TRUE,22,26,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,Multiple Institutions,Bachelor's Degree,Not at all related
Medical,FALSE,FALSE,Staff,Senior individual contributor,5,5,5-9,90,FALSE,5,24,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Very related
Medical,FALSE,FALSE,Staff,Senior individual contributor,6,6,5-9,100,FALSE,20,31,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Not at all related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,17,11,10+,50,TRUE,17,17,TRUE,TRUE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,National,Master's Degree,Moderately related
R1 private,TRUE,FALSE,Staff,Lead/principal individual contributor,3,3,2-4,80,FALSE,2,25,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Not at all related
R1 public,TRUE,TRUE,Faculty,Faculty,9,NA,5-9,100,FALSE,9,9,FALSE,TRUE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Moderately related
R1 private,TRUE,FALSE,Staff,Director,2,2,2-4,100,FALSE,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),Remotely,Multiple Institutions,PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,10,10,10+,80,FALSE,30,35,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,National,PhD or Doctorate,Extremely related
Company,FALSE,FALSE,NA,Senior individual contributor,9,4,5-9,100,TRUE,9,9,TRUE,FALSE,FALSE,FALSE,TRUE,NA,On-site at my employer,Multiple Institutions,Master's Degree,Very related
R1 public,TRUE,FALSE,Staff,Individual contributor,4,0,2-4,100,TRUE,4,6,FALSE,FALSE,FALSE,TRUE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,Multiple Institutions,Bachelor's Degree,Very related
Medical,FALSE,TRUE,Staff,Manager,6,2,5-9,90,FALSE,6,21,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,College or School,Master's Degree,Moderately related
Government,FALSE,FALSE,NA,Senior individual contributor,5,5,5-9,100,TRUE,12,12,FALSE,FALSE,FALSE,FALSE,TRUE,NA,On-site at my employer,Center or Institute,Bachelor's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Individual contributor,1,1,<2,100,FALSE,1,31,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Slightly related
R1 public,TRUE,FALSE,Staff,Director,6,6,5-9,80,FALSE,40,40,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,PhD or Doctorate,Very related
R1 private,TRUE,TRUE,Staff,Senior individual contributor,7,3,5-9,100,TRUE,16,30,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,Bachelor's Degree,Very related
R1 public,TRUE,FALSE,Staff,Director,3,3,2-4,80,FALSE,10,10,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,PhD or Doctorate,Extremely related
Other Academic private,TRUE,FALSE,Staff,Lead/principal individual contributor,5,6,5-9,80,FALSE,5,22,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Slightly related
NA,NA,FALSE,Staff,Director,21,9,10+,80,TRUE,36,39,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,National,PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,4,4,2-4,100,FALSE,30,40,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Very related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,4,4,2-4,100,FALSE,12,16,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,Bachelor's Degree,Moderately related
R1 private,TRUE,NA,Staff,Manager,13,2,10+,100,TRUE,13,15,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,Center or Institute,PhD or Doctorate,Moderately related
R1 private,TRUE,TRUE,Staff,Manager,5,2,5-9,80,TRUE,5,5,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,PhD or Doctorate,Not at all related
R1 public,TRUE,FALSE,Staff,Individual contributor,9,5,5-9,90,FALSE,9,9,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",No Bachelor's Degree,Extremely related
R2 public,TRUE,FALSE,Staff,Senior individual contributor,22,22,10+,20,FALSE,22,35,TRUE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,Bachelor's Degree,Extremely related
NA,NA,NA,Staff,Individual contributor,4,4,2-4,100,FALSE,4,10,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,18,3,10+,30,TRUE,18,25,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",No Bachelor's Degree,Moderately related
R1 private,TRUE,TRUE,Staff,Director,5,5,5-9,100,FALSE,15,26,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Slightly related
R1 public,TRUE,FALSE,Faculty,Faculty,11,7,10+,50,TRUE,15,30,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Moderately related
R2 public,TRUE,TRUE,Staff,Individual contributor,2,2,2-4,100,FALSE,2,15,FALSE,TRUE,FALSE,FALSE,TRUE,Mixture,Remotely,"University, Company, or Institution",Master's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Individual contributor,3,11,2-4,100,FALSE,25,35,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Moderately related
R2 public,TRUE,FALSE,Staff,Senior individual contributor,6,4,5-9,100,TRUE,16,35,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,"University, Company, or Institution",No Bachelor's Degree,Very related
R1 private,TRUE,TRUE,Staff,Individual contributor,5,5,5-9,80,FALSE,5,5,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Manager,7,3,5-9,80,TRUE,7,26,TRUE,FALSE,TRUE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,Research Group,No Bachelor's Degree,Very related
R1 public,TRUE,FALSE,Staff,Manager,31,4,10+,80,TRUE,31,37,TRUE,TRUE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,College or School,Bachelor's Degree,Slightly related
Other,FALSE,FALSE,NA,Manager,19,3,10+,100,TRUE,20,20,TRUE,FALSE,TRUE,FALSE,TRUE,NA,A combination of remotely and on-site,National,Master's Degree,Moderately related
R2 public,TRUE,TRUE,Staff,Individual contributor,6,2,5-9,100,FALSE,6,16,FALSE,TRUE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Not at all related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,14,14,10+,85,FALSE,14,45,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Not at all related
Other Academic public,TRUE,FALSE,Staff,Lead/principal individual contributor,3,0,2-4,100,TRUE,3,9,FALSE,FALSE,FALSE,TRUE,FALSE,I don't know,On-site at my employer,"University, Company, or Institution",No Bachelor's Degree,Slightly related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,26,10,10+,80,TRUE,26,28,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,College or School,Master's Degree,Very related
Medical,FALSE,FALSE,NA,Manager,3,0,2-4,100,TRUE,8,10,TRUE,FALSE,TRUE,FALSE,TRUE,NA,On-site at my employer,"University, Company, or Institution",Master's Degree,Very related
R1 private,TRUE,TRUE,Staff,Senior individual contributor,5,5,5-9,100,FALSE,15,15,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Very related
R1 private,TRUE,FALSE,Staff,Director,0,4,<2,100,FALSE,6,25,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Very related
Company,FALSE,FALSE,NA,Senior individual contributor,20,20,10+,100,TRUE,30,35,FALSE,FALSE,FALSE,FALSE,TRUE,NA,On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Extremely related
Other Academic private,TRUE,FALSE,Staff,Individual contributor,2,2,2-4,75,FALSE,3,10,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,College or School,PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,15,15,10+,50,TRUE,10,24,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,National,PhD or Doctorate,Very related
R1 public,TRUE,TRUE,Staff,Individual contributor,2,2,<2,50,FALSE,2,4,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Slightly related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,2,2,2-4,100,FALSE,2,6,TRUE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Moderately related
R2 public,TRUE,TRUE,Staff,Senior individual contributor,2,2,2-4,100,FALSE,2,25,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Moderately related
R2 public,TRUE,FALSE,Staff,Lead/principal individual contributor,1,1,<2,30,FALSE,1,20,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Not at all related
R1 public,TRUE,FALSE,Staff,Manager,5,5,5-9,100,FALSE,15,23,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Moderately related
R1 public,TRUE,TRUE,Staff,Lead/principal individual contributor,5,4,5-9,100,TRUE,16,17,TRUE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),Remotely,National,Bachelor's Degree,Extremely related
Other,FALSE,FALSE,NA,Individual contributor,1,1,<2,60,FALSE,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,Remotely,Multiple Institutions,Bachelor's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Manager,2,5,2-4,60,FALSE,23,33,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,Multiple Institutions,Master's Degree,Moderately related
NA,NA,NA,NA,Lead/principal individual contributor,1,1,<2,85,FALSE,6,10,FALSE,FALSE,FALSE,FALSE,TRUE,NA,A combination of remotely and on-site,National,PhD or Doctorate,Moderately related
R1 private,TRUE,TRUE,Staff,Lead/principal individual contributor,6,2,5-9,100,TRUE,6,11,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Moderately related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,20,20,10+,100,FALSE,20,23,TRUE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Faculty,Faculty,3,3,2-4,100,FALSE,5,20,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Moderately related
R2 private,TRUE,FALSE,Staff,Director,2,2,2-4,100,FALSE,30,35,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Very related
